True Labels,Predicted Labels,Original Overviews
"Drama, History, Romance",Drama,"Katherine Watson is a recent UCLA graduate hired to teach art history at the prestigious all-female Wellesley College, in 1953. Determined to confront the outdated mores of society and the institution that embraces them, Katherine inspires her traditional students, including Betty and Joan, to challenge the lives they are expected to lead."
"Comedy, Romance","Crime, Drama, Thriller","Gianni is a serial seducer but his life is destined to change when he meets Chiara, a beautiful woman who has had an accident and is paraplegic."
"Adventure, Science Fiction","Action, Adventure, Science Fiction, Thriller","After a night out of partying and left behind by her friends, Ava wakes up and sneaks back home only to find that she's already safe in bed. But that's not Ava - it's someone who looks just like her. A time-traveling fugitive has stolen Ava's body, her identity, and her life. What's more -- she's not alone. There are others, hiding in the past, secretly living among us, plotting to alter the future. Without her body, Ava is a virtual ghost, silent and invisible to the world. And, so far as she knows, she's the only one who can stop them and put the timeline back on course."
"Action, Crime, Thriller","Action, Crime, Thriller","Ray Owens is sheriff of the quiet US border town of Sommerton Junction after leaving the LAPD following a bungled operation. Following his escape from the FBI, a notorious drug baron, his gang, and a hostage are heading toward Sommerton Junction where the police are preparing to make a last stand to intercept them before they cross the border. Owens is reluctant to become involved but ultimately joins in with the law enforcement efforts"
"Comedy, Horror",Comedy,"Sophie and Vincent’s small butcher shop is on the brink of bankruptcy and their marriage is falling apart. Their lives are turned upside down when Vincent accidentally kills a vegan activist who vandalized their shop. Overwhelmed and terrified of being accused of murder, their only solution is to get rid of the body by turning it into ham. To their surprise the ham is so popular that it may save their business… that is if they’re ready to keep “hunting""!"
"Comedy, Romance","Comedy, Drama, Romance","When struggling, out of work actor Michael Dorsey secretly adopts a female alter ego - Dorothy Michaels - in order to land a part in a daytime drama, he unwittingly becomes a feminist icon and ends up in a romantic pickle."
"Action, Adventure, Science Fiction, Thriller","Action, Adventure, Science Fiction, Thriller","It is the 23rd century. The Federation Starship U.S.S. Enterprise is on routine training maneuvers and Admiral James T. Kirk seems resigned to the fact that this inspection may well be the last space mission of his career. But Khan is back. Aided by his exiled band of genetic supermen, Khan - brilliant renegade of 20th century Earth - has raided Space Station Regula One, stolen a top secret device called Project Genesis, wrested control of another Federation Starship and sets out in pursuit of the Enterprise, determined to let nothing stand in the way of his mission: kill Admiral Kirk... even if it means universal Armageddon."
"Adventure, Animation, Comedy, Family","Adventure, Animation, Comedy, Family, Fantasy","In Ancient Polynesia, when a terrible curse incurred by Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the demigod to set things right."
Romance,"Drama, Romance","The wife's friend fills in for the wife on lonely nights!  Hyun-joo quits her job and gets kicked out of the house she can't pay for. In the end, she stays at Hye-jin's while she looks for a job."
"Drama, Mystery, Science Fiction, Thriller","Comedy, Romance","Mike and Kate, a young couple, get the once-in-a lifetime chance to win a cool five million dollars. The challenge: Live for 50 days in a blank space. Sticking it out for thirty days, and the five million are theirs. How difficult can it be?"
"Action, Drama, Mystery, Thriller","Action, Adventure, Thriller","U.S. Marshall John Kruger erases the identities of people enrolled in the Witness Protection Program. His current assignment is to protect Lee Cullen, who's uncovered evidence that the weapons manufacturer she works for has been selling to terrorist groups. When Kruger discovers that there's a corrupt agent within the program, he must guard his own life while trying to protect Lee's."
Comedy,"Comedy, Drama",We don't have an overview translated in English. Help us expand our database by adding one.
"Comedy, Romance","Comedy, Romance","Bianca's universe turns upside down when she learns that her high school refers to her as a ‘DUFF' (Designated Ugly Fat Friend). Hoping to erase that label, she enlists the help of a charming jock and her favorite teacher. Together they'll face the school's mean girl and remind everyone that we are all someone's DUFF… and that's totally fine."
"Documentary, Drama",Documentary,"This is not a film about gun control. It is a film about the fearful heart and soul of the United States, and the 280 million Americans lucky enough to have the right to a constitutionally protected Uzi. From a look at the Columbine High School security camera tapes to the home of Oscar-winning NRA President Charlton Heston, from a young man who makes homemade napalm with The Anarchist's Cookbook to the murder of a six-year-old girl by another six-year-old. Bowling for Columbine is a journey through the US, through our past, hoping to discover why our pursuit of happiness is so riddled with violence."
"Drama, History, Thriller",Drama,"Spanish photographer Francesc Boix, imprisoned in the Mauthausen-Gusen concentration camp, works in the SS Photographic Service. Between 1943 and 1945, he hides, with the help of other prisoners, thousands of negatives, with the purpose of showing the freed world the atrocities committed by the Nazis, exhaustively documented. He will be a key witness during the Nuremberg Trials."
"Animation, Family","Drama, History, War","During the first century A.D., Judah Ben-Hur is a young Hebrew  prince who is thrown into slavery by the Romans after a tragic accident. He sets out to win his way back to his home on a heroic journey of discovery. Judah's love for a beautiful slave girl is threatened by the bitter conflict dividing two former friends, and his triumph is set against the backdrop of the historic struggle between a captive people and a mighty empire."
"Comedy, Family, Romance","Crime, Drama, Thriller","Pedro is a single man in his forties who likes to party, has no children and lives at night. Everything changes when he meets Alin. She mentions to him that she is looking for her dad and that there is a high probability that it is him."
"Drama, History, War","Action, Adventure, Drama","A faithful retelling of the 1942 ""Vel' d'Hiv Roundup"" and the events surrounding it."
Drama,"Comedy, Drama","A young drifter named Nomi arrives in Las Vegas to become a dancer. When she catches the eye of Cristal, the main attraction at the Stardust stage show, Nomi is on the brink of realizing her dreams. But as she bumps and grinds her way to the top, Nomi realizes that there is only room for one starlet on the marquee... and that either she or Cristal will have to take a fall!"
"Animation, Comedy, Family, Mystery","Comedy, Horror","A friend of Fred's, Alejo Otero, invites the Scooby gang to Veracruz, Mexico. There they find a monster, El Chupacabra, terrorizing the town."
"Mystery, Thriller","Drama, Thriller","West Point, New York, 1830. When a cadet at the burgeoning military academy is found hanged with his heart cut out, the top brass summons former New York City constable Augustus Landor to investigate. While attempting to solve this grisly mystery, the reluctant detective engages the help of one of the cadets: a strange but brilliant young fellow by the name of Edgar Allan Poe"
"Action, Adventure, Animation, Fantasy","Action, Adventure, Animation, Family, Fantasy","Ash, Pikachu and his friends try and stop a pair of thieves hiding out in the canals and alleyways of Altomare, the age-old water capital. Joining the adventure are two new legendary Pokémon, a pair of siblings named Latias and Latios, who serve as peacekeepers and protectors of the Soul Dew - a priceless treasure with a mysterious power."
"Drama, Mystery","Drama, Romance",The continuation of Joe's sexually dictated life delves into the darker aspects of her adult life and what led to her being in Seligman's care.
"Adventure, Animation, Comedy, Family","Action, Adventure, Animation, Comedy, Family, Fantasy","It’s high time the Justice League took notice of Shazam, but joining the world’s greatest team of superheroes is a lot harder when they’ve all been turned into kids."
"Action, Horror","Adventure, Animation, Comedy, Family, Fantasy","Graboids are illegally taken to a new island resort by a rich playboy as a dangerous form of trophy hunting, and Burt Gummer steps up to save the day."
"Action, Thriller","Drama, Horror, Mystery, Thriller","Walter and his neglected wife lure a young man into their Victorian home to escape a hurricane. When the man is charged with murder by Det. Jones, he must reveal the couple's wicked secrets to save himself."
Drama,Drama,A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.
Documentary,"Crime, Drama, Thriller",A father fights for decades to bring his daughter's killer to justice in France and Germany before taking extreme measures.
"Drama, Mystery, Thriller","Action, Crime, Drama, Thriller","As investigative reporter Ward Jansen and his partner Yardley Acheman chase a sensational, career-making story with the help of Ward's younger brother Jack and sultry death-row groupie Charlotte Bless, the pair tries to prove violent swamp-dweller Hillary Van Wetter was framed for the murder of a corrupt local sheriff."
"Action, Animation, Fantasy","Action, Adventure, Animation, Science Fiction","When innocent civilians begin committing unthinkable crimes across Metropolis, Gotham City and beyond, Batman must call upon mystical counterparts to eradicate this demonic threat to the planet; enter Justice League Dark. This team of Dark Arts specialists must unravel the mystery of Earth's supernatural plague and contend with the rising, powerful villainous forces behind the siege—before it's too late for all of mankind."
"Action, Crime, Drama, Thriller","Action, Crime, Drama, Thriller","In this classic German thriller, Hans Beckert, a serial killer who preys on children, becomes the focus of a massive Berlin police manhunt. Beckert's heinous crimes are so repellant and disruptive to city life that he is even targeted by others in the seedy underworld network. With both cops and criminals in pursuit, the murderer soon realizes that people are on his trail, sending him into a tense, panicked attempt to escape justice."
Drama,"Drama, Romance","The film follows six women from different walks of life as they struggle with the pressure of conforming to the male gaze. Through non-linear storytelling, each character finds an anchor to overcome their trauma and build a positive emotional and physical being."
"Comedy, Mystery, Thriller","Action, Crime, Drama, Thriller","In the West End of 1950s London, plans for a movie version of a smash-hit play come to an abrupt halt after a pivotal member of the crew is murdered. When world-weary Inspector Stoppard and eager rookie Constable Stalker take on the case, the two find themselves thrown into a puzzling whodunit within the glamorously sordid theater underground, investigating the mysterious homicide at their own peril."
"Crime, Drama","Comedy, Drama, Romance","A day in the life of a group of teens as they travel around New York City skating, drinking, smoking and deflowering virgins."
"Animation, Mystery","Action, Adventure, Animation, Fantasy","Once again, Kaitou Kid crosses swords with Conan Edogawa in this annual installment of the Detective Conan movie franchise. After receiving a letter from the thief, famous actress Juri Maki seeks the help of private detective Kogorou Mouri to protect the Star Sapphire—the ""Jewel of Destiny,"" said to represent faith, fate, and hope."
"Adventure, Comedy, Drama","Comedy, Drama","After living a long and colorful life, Allan Karlsson finds himself stuck in a nursing home. On his 100th birthday, he leaps out a window and begins an unexpected journey."
"Comedy, Romance","Comedy, Romance","When high-school heartthrob Michael receives an unsigned love letter, his guy friends convince him that it's from knock-out prom queen Deborah Anne. He then enlists his best friend, pretty honor student Toni, to help him pass his own anonymous letter to Debbie. But when Michael's younger brother snatches and misplaces the original letter, as well as the second letter also being mishandled, the mysteriously romantic words soon make their way into the hands of the adults in their families, touching off a scandalous soap opera of mixed-up motives, mistaken identities and misled emotions."
"Drama, Romance","Drama, Romance","A chronicle of the life of a middle-class French girl's sexual adventures, her then fall into prostitution, and her ultimate redemption."
"Mystery, Science Fiction, Thriller","Action, Science Fiction, Thriller","A paranoia-fueled action thriller about an unsuccessful writer whose life is transformed by a top-secret ""smart drug"" that allows him to use 100% of his brain and become a perfect version of himself. His enhanced abilities soon attract shadowy forces that threaten his new life in this darkly comic and provocative film."
"Action, Comedy","Action, Comedy, Crime, Thriller","As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product."
"Action, Adventure, Science Fiction","Action, Adventure, Animation, Fantasy, Science Fiction","King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war."
Drama,"Crime, Drama, Thriller","Set in 1977, back when sex was safe, pleasure was a business and business was booming, idealistic porn producer Jack Horner aspires to elevate his craft to an art form. Horner discovers Eddie Adams, a hot young talent working as a busboy in a nightclub, and welcomes him into the extended family of movie-makers, misfits and hangers-on that are always around. Adams' rise from nobody to a celebrity adult entertainer is meteoric, and soon the whole world seems to know his porn alter ego, ""Dirk Diggler"". Now, when disco and drugs are in vogue, fashion is in flux and the party never seems to stop, Adams' dreams of turning sex into stardom are about to collide with cold, hard reality."
"Animation, Family, Fantasy","Action, Adventure, Animation, Fantasy","From the legendary Studio Ghibli, creators of Spirited Away and My Neighbor Totoro, and Academy Award®-winning director Hayao Miyazaki, comes a heartwarming adventure. When Sosuke, a young boy who lives on a clifftop overlooking the sea, rescues a stranded goldfish named Ponyo, he discovers more than he bargained for. Ponyo is a curious, energetic young creature who yearns to be human, but even as she causes chaos around the house, her father, a powerful sorcerer, schemes to return Ponyo to the sea."
"Action, Crime, Thriller","Action, Crime, Thriller","Hondo Harrelson recruits Jim Street to join an elite unit of the Los Angeles Police Department. Together they seek out more members, including tough Deke Kay and single mom Chris Sanchez. The team's first big assignment is to escort crime boss Alex Montel to prison. It seems routine, but when Montel offers a huge reward to anyone who can break him free, criminals of various stripes step up for the prize."
"Action, Animation, Mystery, Science Fiction","Action, Adventure, Animation, Fantasy, Science Fiction","Batman has not been seen for ten years. A new breed of criminal ravages Gotham City, forcing 55-year-old Bruce Wayne back into the cape and cowl. But, does he still have what it takes to fight crime in a new era?"
Thriller,"Action, Crime, Drama, Thriller","The discovery of a chopped-off hand in a Brussels canal forces Belgian police diver Kiki to face deep guilt from the past, her own and her country’s.  Based on the book ‘Ritual’ by Mo Hayder."
"Horror, Thriller","Action, Horror, Science Fiction, Thriller","Lured by the promise of an Australian holiday, backpackers Rutger, Katarina and Paul visit the notorious Wolf Creek Crater.  Their dream Outback adventure soon becomes a horrific reality when they encounter the site's most infamous local, the last man any traveller to the region ever wants to meet—Mick Taylor.  As the backpackers flee, Mick pursues them on an epic white knuckled rampage across hostile wasteland."
"Drama, Horror, Mystery","Drama, Thriller","Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son, but this will soon be put to test when a desperate young family arrives seeking refuge."
"Drama, Romance","Drama, Romance",Family and friends try to sabotage the budding romance between a young upper class girl and a humble student.
Drama,"Comedy, Drama, Romance","Three tales of the erotic: Two young ladies experiment with lesbianism, a handsome and wealthy socialite makes a beautiful woman patiently wait to make love to him, and a gorgeous, but controlling and dominating blind woman makes a hunky stud her sexual hostage in her swanky mansion home."
"Drama, Romance, Thriller","Comedy, Drama, Romance","After arguing with his girlfriend, Ali, Tyler lands in the arms of sexy new girl, Holly. The next morning, he finds that not only does Ali agree to take him back, but Holly is a new student at their school and is dead set on her new man."
"Comedy, Drama, Family, Fantasy","Adventure, Animation, Comedy, Family, Fantasy","Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be."
"Crime, Drama",Drama,"The 47-year old Al Capone, after 10 years in prison, starts suffering from dementia and comes to be haunted by his violent past."
Horror,"Crime, Drama, Mystery, Thriller","When a mysterious animal attack leaves a mutilated body in the forest, a conservative small town detective must enlist the help of an eager wildlife specialist to uncover the dark and disturbing truth that threatens the town."
"Animation, Family","Adventure, Animation, Comedy, Family, Fantasy","When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs."
"Comedy, Drama, Romance","Comedy, Drama, Romance","Shy, straight-A student Ellie is hired by sweet but inarticulate jock Paul, who needs help wooing the most popular girl in school. But their new and unlikely friendship gets tricky when Ellie discovers she has feelings for the same girl."
"Action, Animation, Science Fiction","Action, Adventure, Animation, Science Fiction","Iron Man enlists the help of ruthless vigilante the Punisher to track down War Machine's murderer. All the while, he's being pursued by S.H.I.E.L.D. agents Black Widow and Hawkeye, who suspect his involvement in a recent terrorist plot."
Drama,Drama,"Everything can change in an instant ... and take a lifetime to unravel. When Mac McDonald loses his son in an accident, the ensuing 17 years of bitterness and pain erodes his love for his family and leaves him angry with God ... and just about everyone else. Mac's rage stonewalls his career in the police department and makes for a combustible situation when he's partnered with Sam Wright, a rising star on the force who happens to be a part-time pastor and a loving family man. Can they somehow join forces to help one another when it's impossible for either of them to look past their differences-especially the most obvious one? Every day, we have the opportunity to rebuild relationships and heal deep wounds by extending and receiving God's grace. Offer THE GRACE CARD ... and never underestimate the power of God's love."
"Adventure, Animation, Comedy, Crime, Family","Adventure, Animation, Comedy, Family, Fantasy","The Scooby gang visits a culinary resort run by Fred's uncle, Bobby Flay. While enjoying the sights, a ghost attacks the guests and destroys the resort, leaving the gang to put a stop to its threat."
"Action, Crime","Action, Crime, Thriller","In Chinatown, law and order is turned upside down when a trio of feral Chinese gangsters arrive, start terrorizing civilians, and usurping territory. The beleaguered local gangsters team up with the police, lead by the badass loose cannon Ma Seok-do, to bring them down. Based on a true story."
"Adventure, Drama, Family, Fantasy","Action, Adventure, Animation, Family, Fantasy","Once again, Bastian is transported to the world of Fantasia which he recently managed to save from destruction. However, the land is now being destroyed by an evil sorceress, Xayide, so he must join up with Atreyu and face the Emptiness once more."
Drama,"Drama, Horror, Mystery, Thriller","A father and daughter live a perfect but mysterious existence in Forest Park, a beautiful nature reserve near Portland, Oregon, rarely making contact with the world. But when a small mistake tips them off to authorities, they are sent on an increasingly erratic journey in search of a place to call their own."
"Comedy, Romance","Comedy, Drama, Romance","To fulfill his mother’s dying wish and avoid being removed from her will, an inflexible bachelor hires an actress to play his fiancée."
Drama,"Crime, Drama","Sam, a neurodivergent man, has a daughter with a homeless woman who abandons them when they leave the hospital, leaving Sam to raise Lucy on his own. But as Lucy grows up, Sam's limitations as a parent start to become a problem and the authorities take her away. Sam convinces high-priced lawyer Rita to take his case pro bono and in turn teaches her the value of love and family."
"Action, Crime, Thriller","Action, Crime, Drama, Thriller",Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.
"Action, Horror, Science Fiction","Action, Science Fiction, Thriller","After a zombie apocalypse spreads from a London prison, the UK is brought to its knees. The spread of the virus is temporarily contained but, without a cure, it’s only a matter of time before it breaks its boundaries and the biggest problem of all… any zombies with combat skills are now enhanced. With the South East of England quarantined from the rest of the world using fortified borders, intelligence finds that the scientist responsible for the outbreak is alive and well in London. With his recovery being the only hope of a cure, a squad of eight Special Forces soldiers is sent on a suicide mission to the city, now ruled by the undead, with a single task: get him out alive within 72 hours by any means necessary. What emerges is an unlikely pairing on a course to save humanity against ever-rising odds."
"Action, Drama","Action, Comedy, Crime, Drama, Thriller","Tommy Riley has moved with his dad to Chicago from a 'nice place'. He keeps to himself, goes to school. However, after a street fight he is noticed and quickly falls into the world of illegal underground boxing - where punches can kill."
"Fantasy, Science Fiction","Action, Adventure, Thriller","In the year 2024, the ozone layer is believed to have been destroyed. It is up to MacLeod and Rameriz to set things right. Opposition comes from both the planet Ziest (MacLeod and Ramirez's homeworld) and a corporation profiting from the supposed lack of ozone. Also, flashbacks show the story behind MacLeod and Ramirez's exile from Ziest."
"Comedy, Drama",Drama,"Viktor Navorski is a man without a country; his plane took off just as a coup d'etat exploded in his homeland, leaving it in shambles, and now he's stranded at Kennedy Airport, where he's holding a passport that nobody recognizes. While quarantined in the transit lounge until authorities can figure out what to do with him, Viktor simply goes on living – and courts romance with a beautiful flight attendant."
"Comedy, Drama, Romance","Comedy, Romance","Challenges of impending parenthood turn the lives of five couples upside down. Two celebrities are unprepared for the surprise demands of pregnancy; hormones wreak havoc on a baby-crazy author, while her husband tries not to be outdone by his father, who's expecting twins with his young trophy wife; a photographer's husband isn't sure about his wife's adoption plans; a one-time hook-up results in a surprise pregnancy for rival food-truck owners."
"Horror, Mystery, Thriller","Horror, Thriller","With prayer beads in one hand and an ax in the other, a monk hunts down a millennia-old spirit that's possessing humans and unleashing hell on Earth."
"Action, Crime, Drama, Thriller","Action, Crime, Drama, Thriller",An ex-NYPD officer-turned-sheriff of a small rural Georgia town has to contend with a gang of thieves who have taken a wealthy doctor hostage.
Comedy,"Comedy, Family","It's Christmastime, and the Griswolds are preparing for a family seasonal celebration. But things never run smoothly for Clark, his wife Ellen, and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests, but he manages to keep going, knowing that his Christmas bonus is due soon."
Horror,"Action, Horror, Science Fiction, Thriller",A genetics specialist is sent to stay in a coastal inn to find the origin of an infection that has started spreading slowly.
"Comedy, Romance",Comedy,This comedy has everyone's favorite 6 Swedish gals enjoying their stay in the alps. When the girls aren't enjoying the pleasure of their own company they're out having a good time with nearly everyone else in town.
"Family, Romance","Comedy, Romance","On a Caribbean cruise, Jenny is marooned on a beach with her rock and roll idol. Deliriously in love with the idea of time alone with him, she manages to hide the fact that they're a stone's throw away from their resort."
"Action, Comedy, Crime","Action, Crime, Drama, Thriller","When an old collaborator gets severely injured, a veteran policeman tries to figure out the way to bring to justice the ultimately suspected aggressor, a spoiled young executive, heir to a mega corporation, who believes he is above the law."
Comedy,"Crime, Drama, Thriller",An ex-fighter pilot forced to take over the controls of an airliner when the flight crew succumbs to food poisoning.
"Drama, Romance",Drama,"The Theory of Everything is the extraordinary story of one of the world’s greatest living minds, the renowned astrophysicist Stephen Hawking, who falls deeply in love with fellow Cambridge student Jane Wilde."
"Adventure, Animation, Family","Adventure, Animation, Comedy, Family, Fantasy","When Maya, a headstrong little bee, and her best friend Willi, rescue an ant princess they find themselves in the middle of an epic bug battle that will take them to strange new worlds and test their friendship to its limits."
"Comedy, Crime, Drama","Crime, Drama, Thriller","Bounced from her job, Erin Grant needs money if she's to have any chance of winning back custody of her child. But, eventually, she must confront the naked truth: to take on the system, she'll have to take it all off. Erin strips to conquer, but she faces unintended circumstances when a hound dog of a Congressman zeroes in on her and sharpens the shady tools at his fingertips, including blackmail and murder."
"Drama, Romance","Drama, Romance","The silent secret of the perfect woman.  Genius Consulting is a recruiting company that provides Board of Members of large corporates and professional talents to China. As the original secretary for Joo Yeong-cheol, CEO of the company went on her maternity leave, Ji-won, a new secretary is hired and starts filling the position.  All the employees welcome her who looks sexy at a glance, is capable of doing her job and also has a warm good personality.  On a rainy night, CEO Joo and his new secretary Ji-won have a brief beer break, while working until late at night in the office."
Documentary,Documentary,"The Captains' Summit documents the first time in Star Trek history that four stars who at some point have played Captains in Star Trek (William Shatner, Patrick Stewart, Leonard Nimoy, Jonathan Frakes) have been brought together for a 70-minute rare and unprecedented round table event. Whoopi Goldberg, star of Star Trek: The Next Generation, hosts the event."
Comedy,Comedy,"Cachin's friends are back. After overcoming many adversities, an inheritance will put them to the test, facing funny situations and dark characters that will try to boycott one of their greatest dreams."
"Action, Adventure, Comedy, Romance","Action, Comedy, Crime","When Quinn, a grouchy pilot living the good life in the South Pacific, agrees to transfer a savvy fashion editor, Robin, to Tahiti, he ends up stranded on a deserted island with her after their plane crashes. The pair avoid each other at first, until they're forced to team up to escape from the island -- and some pirates who want their heads."
"Drama, TV Movie","Action, Crime, Drama, Thriller","The real story of Marion Fraisse, who committed suicide at the age of 13 after being viciously and repeatedly bullied by her classmates."
"Action, Crime, Drama, Thriller","Action, Crime, Thriller","When a crime brings them back to L.A., fugitive ex-con Dom Toretto reignites his feud with agent Brian O'Conner. But as they are forced to confront a shared enemy, Dom and Brian must give in to an uncertain new trust if they hope to outmaneuver him. And the two men will find the best way to get revenge: push the limits of what's possible behind the wheel."
"Comedy, Fantasy, Romance","Drama, Horror, Thriller",A spiritualist medium holds a seance for a writer suffering from writers block but accidentally summons the spirit of his deceased first wife which leads to an increasingly complex love triangle with his current wife of five years.
"Action, Adventure, Animation, Family","Action, Adventure, Animation, Science Fiction","When the galaxy comes under the threat of a nefarious space captain, a mechanic and his newfound robot ally join an elite squad of combatants to save the universe."
Romance,"Comedy, Drama, Romance",Sister-in-law's Taste 2
Thriller,"Action, Crime, Drama, Thriller","Mike Regan is a successful, self-made man who has it all: a gorgeous wife, a beautiful teenage daughter and a sleek, state-of-the-art “smart home”. But he soon finds himself in a deadly, high-stakes game of cat-and-mouse when his I.T. consultant, Ed, starts using his skills to stalk Mike’s daughter and endanger his family, his business, and his life. In a world where there is no privacy, and personal secrets can go viral by the click of a mouse, Mike needs to rely on his old connections to defeat a new kind of nemesis."
"Horror, Mystery, Thriller","Horror, Mystery, Thriller","In post–War England, a writer and sometime-ghost hunter investigates a reported haunting at a boys boarding school."
"Comedy, Romance","Drama, Romance","Reunited after 15 years, famous chef Sasha and hometown musician Marcus feel the old sparks of attraction but struggle to adapt to each other's worlds."
Horror,"Horror, Mystery, Thriller",A group of travelers are forced to seek shelter inside an abandoned jail where a notorious nun named Sister Monday had once been assigned and was suspected of murdering prisoners.
"Action, Adventure, Animation, Drama, Fantasy","Action, Adventure, Drama","The Band of the Hawk participates in the Midland war campaign. On the bloody battlefield, they conquer decisive victories that lead them to Doldrey, an old fortress that will decide the outcome of the war."
Drama,Drama,"A French woman of African descent manages to escape after being arrested in the Dominican Republic. She finds shelter in the most dangerous district of Santo Domingo, where she is taken in by a group of children. By becoming their protégée and maternal figure, she will see her destiny change inexorably."
"Action, Adventure, Thriller","Action, Adventure, Thriller","When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon"
Drama,"Drama, Romance","Minoru is dead. However, he was conscious for some reason and could not hide his confusion and surprise. His body doesn't move and he has no senses, but only his ears can be heard. The voice of his son and his wife, who lived together, made him wonder if he was going to night and died in a pitiful way.  Even though it was a night out, his liquor-loving boy had removed his squirrel. Her son's daughter-in-law, Maya, came to Minoru, who couldn't yell at him and was amazed. She thought she was a well-made bride and wasted on her son. It also has a sexual meaning. Eventually, I heard the voice of an unknown man, different from her son. Maya called the man ""Mr. Matsuda"" and began to roar beside his body, uttering a hailless voice. Minoru's desire to see opened her one eye a little. But by that time things were done."
Action,Drama,"A man will become a criminal to save his family.  Director: Shawn Welling  Writer: Derek H. Potts  Stars: Tom Vera, Tom Sizemore, Lee Majors |"
"Animation, Family","Drama, Fantasy","This movie stars Barbie as a teenage girl, trying to deal with crushes, rivals and friendship as she tries to achieve her dream of working as a news anchor for her school's TV station. She doesn't always make the right decisions, but she's a nice enough character and considerably less ""perfect"" than she is portrayed in her other films."
"Crime, Romance, Thriller","Action, Comedy, Crime","Lucas, a diamond trader who travels to Saint Petersburg to arrange a sale, discovers that his Russian business partner has left his hotel and gone to a small Siberian village, so Lucas also heads there to try find him."
"Action, Adventure, Science Fiction, Thriller","Action, Adventure, Fantasy, Science Fiction","When a teenager, Chun-Li witnesses the kidnapping of her father by wealthy crime lord M. Bison. When she grows up, she goes on a quest for vengeance and becomes the famous crime-fighter of the Street Fighter universe."
"Horror, Thriller","Drama, Horror, Mystery, Thriller","After a young writer is brutally gang-raped and left for dead by four men, she systematically hunts them down one by one to exact a terrible vengeance."
"Drama, Romance","Drama, Romance","Art professor Nino Rolfe attempts to break down his wife Teresa's conventional modesty. Noticing her affection for their daughter's fiancé, Nino instigates her sexual interest in him - setting off a chain of unexpected events and emotional complications..."
"Action, Animation","Action, Adventure, Drama, History, War","The story is the bridges the gap of Assassin's Creed II and Assassin's Creed Brotherhood. After the destruction of Monteriggioni in the year 1500, Ezio met with Leonardo Da Vinci to gather information about the Pope's son, Cesare Borgia. Leonardo tells Ezio of Cesare's rise to power."
"Action, Adventure, Fantasy, Science Fiction","Action, Adventure, Drama, Fantasy","The heroic tale of young Mathayus and his relentless quest for justice against an evil and powerful villain, King Sargon. Mathayus faces heart-stopping tribulations during his adventurous, odds-defying trajectory toward his ultimate destiny: becoming the formidable warrior king of an ancient desert empire."
"Horror, Thriller","Horror, Thriller","Six years ago, Michael Myers terrorized the town of Haddonfield, Illinois. He and his niece, Jamie Lloyd, have disappeared. Jamie was kidnapped by a bunch of evil druids who protect Michael Myers. And now, six years later, Jamie has escaped after giving birth to Michael's child. She runs to Haddonfield to get Dr. Loomis to help her again."
"Adventure, Animation","Adventure, Animation, Comedy, Family, Fantasy","The Isle of Koumi, a beautiful island in the Pacific Ocean. On the island, people pass an old legend down from generation to generation that there was the Seabed Palace, an ancient ruin at the bottom of the sea, where the treasure of 2 female pirates, Anne Bonnie & Mary Reed (who really existed 300 years ago), was left. When Conan and his friends visit Koumi Island while on vacation, they meet some treasure hunters. There was something suspicious about them."
"Drama, Romance","Drama, Thriller","Happy young married couple Paige and Leo are, well, happy. Then a car accident puts Paige into a life-threatening coma. Upon awakening she has lost the previous five years of memories, including those of her beloved Leo, her wedding, a confusing relationship with her parents, or the ending of her relationship with her ex-fiance. Despite these complications, Leo endeavors to win her heart again and rebuild their marriage."
